Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00001_100,SO2,2.2692,48.8225,36.0,,urban,background,04/01/1986 00:00:00,20/12/2010 00:00:00,SPO_F-FR04001_00001_100_100,300.0,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_UV-FL_00000,04/01/1986 00:00:00,20/12/2010 00:00:00,automatic,UV-FL,,other,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00001_100,SO2,2.2692,48.8225,36.0,,urban,background,04/01/1986 00:00:00,20/12/2010 00:00:00,SPO_F-FR04001_00001_100_100,300.0,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_UV-FL_12000,04/01/1986 00:00:00,20/12/2010 00:00:00,automatic,UV-FL,,,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00005_100,PM10,2.2692,48.8225,36.0,,urban,background,29/05/1998 00:00:00,24/07/2013 00:00:00,SPO_F-FR04001_00005_100_100,2.7,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_D9119D9119,29/05/1998 00:00:00,24/07/2013 00:00:00,automatic,other,,,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00005_100,PM10,2.2692,48.8225,36.0,,urban,background,29/05/1998 00:00:00,24/07/2013 00:00:00,SPO_F-FR04001_00005_100_100,2.7,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_TEOM_00000,29/05/1998 00:00:00,24/07/2013 00:00:00,automatic,TEOM,,other,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00008_100,NO2,2.2692,48.8225,36.0,,urban,background,07/09/1993 00:00:00,24/07/2013 00:00:00,SPO_F-FR04001_00008_100_100,4.3,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_chemi_00000,07/09/1993 00:00:00,24/07/2013 00:00:00,automatic,chemi,,other,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00008_100,NO2,2.2692,48.8225,36.0,,urban,background,07/09/1993 00:00:00,24/07/2013 00:00:00,SPO_F-FR04001_00008_100_100,4.3,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_chemi_02000,07/09/1993 00:00:00,24/07/2013 00:00:00,automatic,chemi,,,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00038_100,NO,2.2692,48.8225,36.0,,urban,background,01/01/2004 00:00:00,24/07/2013 00:00:00,SPO_F-FR04001_00038_100_100,4.3,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_chemi_00000,01/01/2004 00:00:00,24/07/2013 00:00:00,automatic,chemi,,other,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04001,FR04001,"""ISSY-LES-MOULINEAUX""",SPO-FR04001_00038_100,NO,2.2692,48.8225,36.0,,urban,background,07/09/1993 00:00:00,24/07/2013 00:00:00,SPO_F-FR04001_00038_100_100,4.3,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_chemi_02000,07/09/1993 00:00:00,24/07/2013 00:00:00,automatic,chemi,,,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2025.0,NET-FR004A,AIRPARIF,UTC,FR04001,FR04001,ISSY-LES-MOULINEAUX,SPO-FR04001_38,NO,2.2692,48.8225,36.0,m,urban,background,07/09/1993 00:00:00,24/07/2013 00:00:00,SAM-FR04001_38,3.0,m,,m,,,,,,,,0,,,,,ISSY-LES-MOULINEAUX,,,,,,,,,,SPP-FR_20,07/09/1993 00:00:00,24/07/2013 00:00:00,automatic,chemi,,undetermined,,,,,,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,5.0,ug.m-3,,https://www.lcsqa.org/fr/guides-methodologiques,15.0,minute,15.0,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml,28/01/2026 02:00:15
France,FR.LCSQA-INERIS.AQ,2025.0,NET-FR004A,AIRPARIF,UTC,FR04001,FR04001,ISSY-LES-MOULINEAUX,SPO-FR04001_5,PM10,2.2692,48.8225,36.0,m,urban,background,04/01/1986 00:00:00,24/07/2013 00:00:00,SAM-FR04001_5,3.0,m,,m,,,,,,,,0,,,,,ISSY-LES-MOULINEAUX,,,,,,,,,,SPP-FR_14,04/01/1986 00:00:00,24/07/2013 00:00:00,automatic,,,undetermined,,,,,,yes,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,3.0,ug.m-3,,https://www.lcsqa.org/fr/guides-methodologiques,15.0,minute,15.0,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml,28/01/2026 02:00:15
France,FR.LCSQA-INERIS.AQ,2025.0,NET-FR004A,AIRPARIF,UTC,FR04001,FR04001,ISSY-LES-MOULINEAUX,SPO-FR04001_8,NO2,2.2692,48.8225,36.0,m,urban,background,04/01/1986 00:00:00,24/07/2013 00:00:00,SAM-FR04001_8,3.0,m,,m,,,,,,,,0,,,,,ISSY-LES-MOULINEAUX,,,,,,,,,,SPP-FR_18,04/01/1986 00:00:00,24/07/2013 00:00:00,automatic,chemi,,undetermined,,,,,,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,3.8,ug.m-3,,https://www.lcsqa.org/fr/guides-methodologiques,15.0,minute,15.0,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml,28/01/2026 02:00:15
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04002,FR04002,"""GENNEVILLIERS""",SPO-FR04002_00001_100,SO2,2.29472,48.92972,28.0,,urban,background,24/08/1993 00:00:00,31/03/2004 00:00:00,SPO_F-FR04002_00001_100_100,15.3,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_UV-FL_00000,24/08/1993 00:00:00,31/03/2004 00:00:00,automatic,UV-FL,,other,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
France,FR.LCSQA-INERIS.AQ,2013.0,NET-FR004A,"""Association-AIRPARIF""",UTC+01,FR04002,FR04002,"""GENNEVILLIERS""",SPO-FR04002_00001_100,SO2,2.29472,48.92972,28.0,,urban,background,24/08/1993 00:00:00,31/03/2004 00:00:00,SPO_F-FR04002_00001_100_100,15.3,,,,,,,,,,,0,,,,,,,,,,,,,,,SPP-FR_A_UV-FL_12000,24/08/1993 00:00:00,31/03/2004 00:00:00,automatic,UV-FL,,,,,,,,,,,,,,,,,,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envvqwbqq/rep_d-fr_lcsqa-ineris_20150317_d-001_corr.xml,09/11/2024 01:41:18
