half_year,role,estimate_pct,analytic_se_log
2013-H1,lead,3.07,0.07743
2013-H2,lead,-0.408,0.071
2014-H1,lead,2.94,0.0646
2014-H2,lead,-8.944,0.05245
2015-H1,lead,-6.95,0.06749
2015-H2,lead,-7.188,0.05942
2016-H1,reference,0.0,
2016-H2,precursor,-7.368,0.05258
2017-H1,precursor,2.691,0.07205
2017-H2,post,1.284,0.04348
2018-H1,post,12.616,0.06388
2018-H2,post,5.296,0.05168
2019-H1,post,25.236,0.06866
2019-H2,post,16.752,0.04891
2020-H1,post,66.242,0.05584
2020-H2,post,41.356,0.06101
2021-H1,post,60.078,0.0646
2021-H2,post,47.492,0.05376
2022-H1,post,51.911,0.05707
2022-H2,post,56.687,0.05011
