half_year,paris_proper_pct,surrounding_area_pct,difference,period
2013-H1,-17.699,-4.898,12.801,before launch
2013-H2,-20.477,-16.356,4.121,before launch
2014-H1,-17.803,-5.337,12.466,before launch
2014-H2,-27.292,-21.284,6.008,before launch
2015-H1,-25.7,-11.02,14.68,before launch
2015-H2,-25.89,-17.102,8.788,before launch
2016-H1,-20.151,-6.866,13.285,before launch
2016-H2,-26.034,-22.999,3.035,before launch
2017-H1,-18.002,-9.347,8.655,before launch
2017-H2,-19.125,-19.16,-0.035,before launch
2018-H1,-10.077,-3.031,7.046,before launch
2018-H2,-15.922,-14.651,1.271,before launch
2019-H1,0.0,0.0,0.0,reference
2019-H2,-6.775,-11.361,-4.586,launch half
2020-H1,32.743,3.094,-29.649,after launch
2020-H2,12.872,-9.097,-21.969,after launch
2021-H1,27.821,-0.175,-27.996,after launch
2021-H2,17.772,-11.321,-29.093,after launch
2022-H1,21.3,-6.736,-28.036,after launch
2022-H2,25.113,-23.338,-48.451,after launch
