half_year,estimate_pct,ci_lo_pct,ci_hi_pct,role
2013-H1,33.801,27.829,45.761,lead
2013-H2,5.573,-9.509,17.448,lead
2014-H1,22.148,14.954,35.934,lead
2014-H2,40.338,34.32,48.687,lead
2015-H1,20.864,16.934,27.357,lead
2015-H2,20.415,15.672,32.402,lead
2016-H1,27.936,21.394,60.284,lead
2016-H2,9.626,5.817,24.295,lead
2017-H1,-2.011,-5.223,3.168,lead
2017-H2,13.931,9.435,20.94,lead
2018-H1,16.756,12.886,22.846,lead
2018-H2,2.534,-1.346,10.061,lead
2019-H1,0.0,0.0,0.0,reference
2019-H2,11.545,6.989,19.592,post
2020-H1,27.697,21.105,34.349,post
2020-H2,37.596,32.753,56.577,post
2021-H1,29.721,25.378,36.452,post
2021-H2,31.563,25.643,39.714,post
2022-H1,33.882,29.402,40.657,post
2022-H2,25.11,5.975,35.058,post
